categoryNames,recipeNumber,categoryLinks
beef-and-lamb,27,https://www.chinasichuanfood.com/beef-and-lamb/
chicken-and-poultry,7,https://www.chinasichuanfood.com/chicken-and-poultry/
Chinese-desserts,9,https://www.chinasichuanfood.com/Chinese-desserts/
Chinese-noodles,11,https://www.chinasichuanfood.com/Chinese-noodles/
Chinese-Pancakes,29,https://www.chinasichuanfood.com/Chinese-Pancakes/
Collections,1,https://www.chinasichuanfood.com/Collections/
egg-and-dairy,6,https://www.chinasichuanfood.com/egg-and-dairy/
fish-and-seafood,5,https://www.chinasichuanfood.com/fish-and-seafood/
how-to,9,https://www.chinasichuanfood.com/how-to/
Pantry,441,https://www.chinasichuanfood.com/Pantry/
pork,41,https://www.chinasichuanfood.com/pork/
quick-and-easy,27,https://www.chinasichuanfood.com/quick-and-easy/
rice-and-flour,13,https://www.chinasichuanfood.com/rice-and-flour/
sauces-and-condiments,10,https://www.chinasichuanfood.com/sauces-and-condiments/
Sichuan-Recipes,35,https://www.chinasichuanfood.com/Sichuan-Recipes/
soup-and-stew,24,https://www.chinasichuanfood.com/soup-and-stew/
soy-related,9,https://www.chinasichuanfood.com/soy-related/
stir-fry,26,https://www.chinasichuanfood.com/stir-fry/
talks,2,https://www.chinasichuanfood.com/talks/
vegan-and-vegetarian,7,https://www.chinasichuanfood.com/vegan-and-vegetarian/
vegetables-and-Mushrooms,17,https://www.chinasichuanfood.com/vegetables-and-Mushrooms/
wonton-and-dumplings,14,https://www.chinasichuanfood.com/wonton-and-dumplings/
